title;type;start;end;row;tooltip;class
Période contemporaine;period;1789;2025;rowP2;1789 => 2025;epoque1 full carre
Âge de pierre;period;-26M;-3300;rowP5 / span 3;-2,6M => -3000;age1 full carre
Âge de bronze;period;-3300;-1000;rowP5 / span 3;-3000 => -1000;age2 full carre
Âge de fer;period;-1000;481;rowP5 / span 3;-1000 => ?;age1 ouvert full carre
Les Mérovingiens;period;481;751;rowP4;481 => 751;royfrance1 full carre
Les Carolingiens;period;751;987;rowP4;751 => 987;royfrance2 full carre
Les Capétiens;period;987;1328;rowP4;987 => 1328;royfrance1 full carre
Les Valois;period;1328;1589;rowP4;1328 => 1589;royfrance2 full carre
Les Bourbons;period;1589;1792;rowP4;1589 => 1792;royfrance1 full carre
Les Bourbons;period;1814;1848;rowP4;1814 => 1848;royfrance1 full carre
Art Moderne;period;1863;1945;rowP3;1963 => ?;age1 ouvert full carre
Art Contemporain;period;1945;2025;rowP3;1945 => à nos jours;age2 full carre
Empire franc;period;800;924;rowP5;800 => 924;empire full carre
Système féodal;period;1030;1400;rowP5;1030 => 1400;feodal full carre
Les croisades;period;1095;1291;rowhist1;"1095 => 1291</br>9 croisades sur cette période, des ""pélerinages en armes"", souvent lancés par la France</br>Les chrétiens, les pellerins armés => les croisés";croisades
Guerre de cent ans;period;1337;1453;rowhist1;1337 => 1453</br>Valois (royaume de France) contre Plantagenêts (royaume d'Angleterre);guerrecent full carre
1ère République;period;1792;1804;rowP5;1792 => 1804;rep1 full carre
1er Empire;period;1804;1814;rowP5;1804 => 1814;empire full carre
Cent-jours;event;1815;;rowP4;
Napoléon Ier;period;1804;1814;rowP4;1804 => 1814;empire full carre
2e République;period;1848;1852;rowP5;1848 => 1852;rep1 full carre
Napoléon III;period;1848;1851;rowP4;1848 => 1851;rep1 full carre
Second Empire;period;1852;1870;rowP5;1852 => 1870;empire full carre
Napoléon III;period;1852;1870;rowP4;1852 => 1870;empire full carre
3e République;period;1870;1940;rowP5;1870 => 1940;rep1 full carre
Adolphe Thiers;period;1871;1873;rowP4;1871 => 1873;rep2 full carre
Patrice de Mac Mahon;period;1873;1879;rowP4;1873 => 1879;rep1 full carre
Jules Grévy;period;1879;1887;rowP4;1879 => 1887;rep2 full carre
Sadi Carnot;period;1887;1894;rowP4;1887 => 1894;rep1 full carre
Jean Casimir-Perier;period;1894;1895;rowP4;1894 => 1895;rep2 full carre
Félix Faure;period;1895;1899;rowP4;1895 => 1899;rep1 full carre
Émile Loubet;period;1899;1906;rowP4;1899 => 1906;rep2 full carre
Armand Fallières;period;1906;1913;rowP4;1906 => 1913;rep1 full carre
Raymond Poincaré;period;1913;1919;rowP4;1913 => 1920;rep2 full carre
Paul Deschanel;period;1919;1920;rowP4;1920 => 1920;rep1 full carre
Alexandre Millerand;period;1920;1924;rowP4;1920 => 1924;rep2 full carre
Gaston Doumergue;period;1924;1931;rowP4;1924 => 1931;rep1 full carre
Paul Doumer;period;1931;1932;rowP4;1931 => 1932;rep2 full carre
Albert Lebrun;period;1932;1940;rowP4;1932 => 1940;rep1 full carre
4e République;period;1946;1958;rowP5;1946 => 1958;rep1 full carre
Vincent Auriol;period;1947;1954;rowP4;1947 => 1954;rep2 full carre
René Coty;period;1954;1959;rowP4;1954 => 1959;rep1 full carre
5e République;period;1958;2025;rowP5;1958 => à nos jours;rep2 full carre
Charles de Gaulle;period;1959;1969;rowP4;1959 => 1969;rep2 full carre
Georges Pompidou;period;1969;1974;rowP4;1969 => 1974;rep1 full carre
Valéry Giscard d'Estaing;period;1974;1981;rowP4;1974 => 1981;rep2 full carre
François Mitterand;period;1981;1995;rowP4;1981 => 1995;rep1 full carre
Jacques Chirac;period;1995;2007;rowP4;1995 => 2007;rep2 full carre
Nicolas Sarkozy;period;2007;2012;rowP4;2007 => 2012;rep1 full carre
François Hollande;period;2012;2017;rowP4;2012 => 2017;rep2 full carre
Emmanuel Macron;period;2017;2025;rowP4;2017 => à nos jours;rep1 full carre
Humanisme;period;1400;1789;row4 / span 2;1400 => fin 1700</br>L'humain avant tout le reste, laïcité</br><img src='https://sciencepost.fr/wp-content/uploads/2018/10/Ortuns-Wikipedia-192x192.jpg' width='160'>;humanisme
Lumières;period;1715;1789;row3;1715 => 1789;lumieres rec13
<strong>Diderot, d'Alembert</strong></br><em>l'Encyclopédie</em>;event;1751;;row3;;transp full
Classicisme;period;1660;1785;row2;1660 => ~1785</br>Esthétique de l'honnête homme, fondé sur l'inspiration de l'art antique. Esthétique fondée sur des principes assez contraignants, en particulier les règles du théâtre classique, marqué par l'équilibre, la mesure et la vraisemblance;courantofficiel2 carre full
Salons Académie;period;1673;1880;row1;1673 => 1880;salons carre full
Salon des refusés;period;1863;1886;row2;1863 => 1886</br><strong>Viollet le Duc</strong> initie les salons des refusés;refuses carre full
Académie royale de peinture et de sculpture;event;1648;;row1 / span 2;Création de l'académie;bulle academie
<strong>Édouard Manet</strong></br></strong><em>Le déjeûner sur l'herbe</em>;event;1863;;row4 / span 2;"Une femme non-déesse est ""mise à poil""";bulle trois
La Fronde;period;1648;1653;rowP5;1648 => 1653;crise full carre
Régence;period;1715;1722;rowP5;1715 => 1722</br>Roi trop jeune, régence exercée par le duc d'Orléans. Hausse du progressisme et baisse de la crédibilité de l'État;crise full carre
Crise;period;1837;1839;rowhist1 / span 2;1837 => 1839</br>Angleterre, Canada, États-Unis</br>Crise de la production agricole et crise financière;crise full carre
Crise;period;1846;1847;rowhist1 / span 2;1846 => 1847</br>Crise économique en Europe due à la crise industrielle et aux mauvaises récoltes de céréales;crise full carre
Rococo, style rocaille;period;1715;1774;rowhist2;1715 => 1774</br>Europe</br>Décors d'intérieur inspirés de la nature, fleurs, motifs fantaisistes, exotiques, arabesques;courantofficiel1 carre full
Néo-classicisme;period;1750;1810;rowhist1;1750 => 1810</br>Émerge avec les lumières - promeuvent le retour à l'Antique - contre le rococo;courantofficiel2 carre full
Romantisme;period;1800;1870;rowhist2;Fin 1700 => 1870</br>Occident</br>Contre le classicisme, les lumières, la raison;courantofficiel1 carre full
Réalisme;period;1850;1885;rowhist1;1850 => 1885</br>International</br>Proche du romantisme et du naturalisme;courantofficiel2 carre full
<strong>Gustave Courbet</strong> Manifeste du réalisme;event;1855;;rowhist1;"Il loue un entrepôt face à l'exposition universelle, il expose ses œuvres, ""pavillon du réalisme""</br>La première marque de l'indépendance des artistes face aux institutions, tournant précurseur de l'art moderne";bulle transp
<strong>Auguste Rodin</strong> <em>Le penseur</em>;event;1880;;rowhist1;<img src='https://cdn.pixabay.com/photo/2015/12/12/22/04/the-thinker-1090227__180.jpg' width='160'>;transp bulle
;fond;-11700;-6400;rowticks / rowend;;epoquefond
;fond;-3300;476;rowticks / rowend;;epoquefond
;fond;1492;1789;rowticks / rowend;;epoquefond
;fond;1914;1918;rowticks / rowend;;gmfond
;fond;1939;1945;rowticks / rowend;;gmfond
Grottes de Lascaux;period;-21000;-14000;row4;-21 000 => -14 000</br>(Dordogne)</br><img src='https://www.fabula.org/actualites/documents/122756_fbb41ad888c08b362911ae20334f001b.jpg' width='160'>;lascaux
Magdalénien;period;-17000;-14000;row9;-17 000 => -14 000</br>(culture);magdalenien
Dolmens;period;-5000;-3300;row3;-5000 => -3300</br><img src='https://www.aquaportail.com/pictures2209/dolmen.jpg' width='160'>;dolmens
;;;;;;
Clovis;period;481;511;rowP3;;royfrance2 carre full
Clothaire 1er;period;558;561;rowP3;;royfrance2 carre full
Clothaire 2;period;613;629;rowP3;;royfrance2 carre full
Dagobert 1er;period;629;639;rowP3;;royfrance1 carre full
13 rois mérovingiens;period;639;751;rowP3;;royfrance2 carre full
Pépin le Bref;period;751;768;rowP3;;royfrance1 carre full
Charlemagne et Carloman;period;768;814;rowP3;;empire carre full
Louis Ier le Pieux;period;814;840;rowP3;;royfrance1 carre full
Charles le Chauve;period;843;877;rowP3;;royfrance1 carre full
Louis II le Bègue;period;877;879;rowP3;;royfrance2 carre full
Charles II le Gros;period;884;888;rowP3;;royfrance1 carre full
Eudes (Robertien);period;888;898;rowP3;;royfrance2 carre full
Charles III le Simple;period;898;922;rowP3;;royfrance1 carre full
Robert Ier (Robertien);period;922;923;rowP3;;royfrance2 carre full
Raoul (Robertien);period;923;936;rowP3;;royfrance1 carre full
Louis IV l'Outremer;period;936;954;rowP3;;royfrance2 carre full
Lothaire;period;954;986;rowP3;;royfrance1 carre full
Louis V;period;986;987;rowP3;;royfrance2 carre full
Hugues Ier Capet;period;987;996;rowP3;;royfrance1 carre full
Robert II le Pieux;period;996;1031;rowP3;;royfrance2 carre full
Henri Ier;period;1031;1060;rowP3;;royfrance1 carre full
Philippe Ier;period;1060;1108;rowP3;;royfrance2 carre full
Louis VI le Gros;period;1108;1137;rowP3;;royfrance1 carre full
Louis VII le Jeune;period;1137;1180;rowP3;;royfrance2 carre full
Philippe II Auguste;period;1180;1223;rowP3;;royfrance1 carre full
Louis VIII le Lion;period;1223;1226;rowP3;;royfrance2 carre full
Louis IX (Saint Louis);period;1226;1270;rowP3;;royfrance1 carre full
Philippe III le Hardi;period;1270;1285;rowP3;;royfrance2 carre full
Philippe IV le Bel;period;1285;1314;rowP3;;royfrance1 carre full
Louis X le Hutin</br>Jean Ier le Posthume;period;1314;1316;rowP3;Louis X : 1314 => 1316</br>Jean Ier : 1316 => 1316;royfrance2 carre full
Philippe V le Long;period;1316;1322;rowP3;;royfrance1 carre full
Charles IV le Bel;period;1322;1328;rowP3;;royfrance2 carre full
Philippe VI de Valois;period;1328;1350;rowP3;;royfrance1 carre full
Jean II le Bon;period;1350;1364;rowP3;;royfrance2 carre full
Charles V le Sage;period;1364;1380;rowP3;;royfrance1 carre full
Charles VI le Bien-Aimé;period;1380;1422;rowP3;;royfrance2 carre full
Charles VII le Bien Servi;period;1422;1461;rowP3;;royfrance1 carre full
Louis XI le Prudent;period;1461;1483;rowP3;;royfrance2 carre full
Charles VIII l'Affable;period;1483;1498;rowP3;;royfrance1 carre full
Louis XII le père du Peuple;period;1498;1515;rowP3;;royfrance2 carre full
François Ier, père et restaurateur des Lettres;period;1515;1547;rowP3;;royfrance1 carre full
Henri II;period;1547;1559;rowP3;;royfrance2 carre full
François II;period;1559;1560;rowP3;;royfrance1 carre full
Charles IX;period;1560;1574;rowP3;;royfrance2 carre full
Henri III;period;1574;1589;rowP3;;royfrance1 carre full
Henri IV (le Vert Galand);period;1589;1610;rowP3;;royfrance2 carre full
Louis XIII le Juste;period;1610;1643;rowP3;;royfrance1 carre full
Louis XIV (le Roi Soleil);period;1643;1715;rowP3;Plus long règne, 72 ans;royfrance2 carre full
Louis XV le Bien-Aimé;period;1715;1774;rowP3;;royfrance1 carre full
Louis XVI;period;1774;1792;rowP3;;royfrance2 carre full
Louis XVIII;period;1814;1824;rowP3;;royfrance1 carre full
Charles X;period;1824;1830;rowP3;;royfrance2 carre full
Louis-Philippe 1er;period;1830;1848;rowP3;;royfrance1 carre full
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Premières traces de la route de la soie;event;-2000;;row18;de Chang'an (Xi'an, Chine) à Constantinople (Istanbul, Turquie);bulle full
Période des Printemps et automnes;period;-771;-481;row18;-771 => -481</br>Chine;chine1 carre full
Royaumes combattants;period;-481;-221;row18;-481 => -221</br>Chine;chine2 carre full
Dynastie Qin;period;-221;-206;row18;-221 => -206</br>Chine;chine1 carre full
Dynastie Han;period;-206;220;row18;-206 => 220</br>Chine</br>Développement de la route de la soie;chine2 carre full
